week;region;unemployed;level;population;pass;pass_exist
2020-04-27 00:00:00;Чечня;510;;1478726;0;1
2020-04-27 00:00:00;Чувашия;1488;;1217818;0;1
2020-04-27 00:00:00;Ямало-Ненецкий АО;152;;544444;1;0
2020-04-27 00:00:00;Ярославская;0;;1253389;1;0
2020-05-04 00:00:00;Адыгея;439;;463088;0;1
2020-05-04 00:00:00;Алтай;258;;220181;1;0
2020-05-04 00:00:00;Алтайский край;243;;2317153;1;0
2020-05-04 00:00:00;Амурская;2271;;790044;1;0
2020-05-04 00:00:00;Архангельская;24045;;1092424;0;1
2020-05-04 00:00:00;Астраханская;5139;;1005782;0;1
2020-05-04 00:00:00;Башкортостан;4143;;4038151;0;1
2020-05-04 00:00:00;Белгородская;4763;;1549151;1;0
2020-05-04 00:00:00;Брянская;2173;;1192491;0;1
2020-05-04 00:00:00;Бурятия;1392;;985937;1;0
2020-05-04 00:00:00;Владимирская;7062;;1358416;0;1
2020-05-04 00:00:00;Волгоградская;2397;;2491036;1;0
2020-05-04 00:00:00;Вологодская;2939;;1160445;0;2
2020-05-04 00:00:00;Воронежская;361;;2324205;1;0
2020-05-04 00:00:00;Дагестан;1052;;3110858;0;1
2020-05-04 00:00:00;Еврейская АО;7551;;158305;0;1
2020-05-04 00:00:00;Забайкальский край;2364;;1059700;0;1
2020-05-04 00:00:00;Ивановская;1206;;997135;1;0
2020-05-04 00:00:00;Ингушетия;194;;507061;1;0
2020-05-04 00:00:00;Иркутская;1354;;2391193;0;2
2020-05-04 00:00:00;Кабардино-Балкария;728;;868350;1;0
2020-05-04 00:00:00;Калининградская;1104;;1012512;0;1
2020-05-04 00:00:00;Калмыкия;207;;271135;0;1
2020-05-04 00:00:00;Калужская;5564;;1002575;1;0
2020-05-04 00:00:00;Камчатский край;716;;313016;;2
2020-05-04 00:00:00;Карачаево-Черкессия;577;;465528;1;0
2020-05-04 00:00:00;Карелия;550;;614064;1;0
2020-05-04 00:00:00;Кемеровская;720;;2657854;1;0
2020-05-04 00:00:00;Кировская;805;;1262402;1;0
2020-05-04 00:00:00;Коми;5723;;820473;0;1
2020-05-04 00:00:00;Костромская;1465;;633385;1;0
2020-05-04 00:00:00;Краснодарский край;59;;5675462;0;1
2020-05-04 00:00:00;Красноярский край;1256;;2866255;0;1
2020-05-04 00:00:00;Крым;1602;;1912622;1;0
2020-05-04 00:00:00;Курганская;3140;;827166;0;1
2020-05-04 00:00:00;Курская;4298;;1104008;1;0
2020-05-04 00:00:00;Ленинградская;1906;;1875872;1;0
2020-05-04 00:00:00;Липецкая;3442;;1139371;0;1
2020-05-04 00:00:00;Марий Эл;543;;679417;1;0
2020-05-04 00:00:00;Мордовия;5469;;790197;1;0
2020-05-04 00:00:00;Московская;5529;;7690863;0;1
2020-05-04 00:00:00;Мурманская;1199;;741404;1;0
2020-05-04 00:00:00;Нижегородская;567;;3202946;0;1
2020-05-04 00:00:00;Новгородская;5702;;596508;1;0
2020-05-04 00:00:00;Новосибирская;565;;2798170;1;0
2020-05-04 00:00:00;Омская;6090;;1926665;;1
2020-05-04 00:00:00;Оренбургская;170;;1956835;1;0
2020-05-04 00:00:00;Орловская;831;;733498;1;0
2020-05-04 00:00:00;Пензенская;542;;1305563;0;1
2020-05-04 00:00:00;Пермский край;435;;2599260;0;1
2020-05-04 00:00:00;Приморский край;1948;;1895868;0;1
2020-05-04 00:00:00;Псковская;880;;626115;1;0
2020-05-04 00:00:00;Ростовская;916;;4197821;1;0
2020-05-04 00:00:00;Рязанская;2986;;1108847;0;2
2020-05-04 00:00:00;Самарская;982;;3179532;1;0
2020-05-04 00:00:00;Санкт-Петербург;487;;5398064;1;0
2020-05-04 00:00:00;Саратовская;143;;2421895;1;0
2020-05-04 00:00:00;Саха;1019;;971996;0;3
2020-05-04 00:00:00;Сахалинская;691;;488257;1;0
2020-05-04 00:00:00;Свердловская;2649;;4310681;1;0
2020-05-04 00:00:00;Севастополь;558;;449138;0;0
2020-05-04 00:00:00;Северная Осетия;393;;696837;1;0
2020-05-04 00:00:00;Смоленская;532;;934889;1;0
2020-05-04 00:00:00;Ставропольский край;640;;2803573;0;1
2020-05-04 00:00:00;Тамбовская;1519;;1006748;;3
2020-05-04 00:00:00;Татарстан;372;;3902888;0;1
2020-05-04 00:00:00;Тверская;1274;;1260379;1;0
2020-05-04 00:00:00;Томская;3540;;1079271;1;0
2020-05-04 00:00:00;Тульская;1082;;1466127;0;2
2020-05-04 00:00:00;Тыва;1481;;327383;1;0
2020-05-04 00:00:00;Тюменская;1310;;1537416;1;0
2020-05-04 00:00:00;Удмуртия;2430;;1500955;1;0
2020-05-04 00:00:00;Ульяновская;223;;1229824;0;1
2020-05-04 00:00:00;Хабаровский край;1127;;1315643;1;0
2020-05-04 00:00:00;Хакасия;581;;534262;1;0
2020-05-04 00:00:00;ХМАО;1319;;1674676;1;0
2020-05-04 00:00:00;Челябинская;1552;;3466369;1;0
2020-05-04 00:00:00;Чечня;822;;1478726;0;1
2020-05-04 00:00:00;Чувашия;903;;1217818;0;1
2020-05-04 00:00:00;Ямало-Ненецкий АО;424;;544444;1;0
2020-05-04 00:00:00;Ярославская;0;;1253389;1;0
2020-05-11 00:00:00;Адыгея;812;;463088;0;1
2020-05-11 00:00:00;Алтай;752;;220181;1;0
2020-05-11 00:00:00;Алтайский край;1581;;2317153;1;0
2020-05-11 00:00:00;Амурская;1854;;790044;1;0
2020-05-11 00:00:00;Архангельская;634;;1092424;0;1
2020-05-11 00:00:00;Астраханская;1460;;1005782;0;1
2020-05-11 00:00:00;Башкортостан;1260;;4038151;0;1
2020-05-11 00:00:00;Белгородская;2979;;1549151;1;0
2020-05-11 00:00:00;Брянская;4975;;1192491;0;1
2020-05-11 00:00:00;Бурятия;2063;;985937;1;0
2020-05-11 00:00:00;Владимирская;1207;;1358416;0;1
2020-05-11 00:00:00;Волгоградская;156;;2491036;1;0
2020-05-11 00:00:00;Вологодская;1651;;1160445;0;2
2020-05-11 00:00:00;Воронежская;1193;;2324205;1;0
2020-05-11 00:00:00;Дагестан;182;;3110858;0;1
2020-05-11 00:00:00;Еврейская АО;1192;;158305;0;1
2020-05-11 00:00:00;Забайкальский край;834;;1059700;0;1
2020-05-11 00:00:00;Ивановская;1100;;997135;1;0
2020-05-11 00:00:00;Ингушетия;6702;;507061;1;0
2020-05-11 00:00:00;Иркутская;1918;;2391193;0;2
2020-05-11 00:00:00;Кабардино-Балкария;52;;868350;1;0
2020-05-11 00:00:00;Калининградская;1477;;1012512;0;1
2020-05-11 00:00:00;Калмыкия;2260;;271135;0;1
2020-05-11 00:00:00;Калужская;2861;;1002575;1;0
2020-05-11 00:00:00;Камчатский край;2445;;313016;;2
2020-05-11 00:00:00;Карачаево-Черкессия;147;;465528;1;0
2020-05-11 00:00:00;Карелия;4550;;614064;1;0
2020-05-11 00:00:00;Кемеровская;607;;2657854;1;0
2020-05-11 00:00:00;Кировская;7562;;1262402;1;0
2020-05-11 00:00:00;Коми;154;;820473;0;1
2020-05-11 00:00:00;Костромская;1401;;633385;1;0
2020-05-11 00:00:00;Краснодарский край;513;;5675462;0;1
2020-05-11 00:00:00;Красноярский край;1074;;2866255;0;1
2020-05-11 00:00:00;Крым;1130;;1912622;1;0
2020-05-11 00:00:00;Курганская;496;;827166;0;1
2020-05-11 00:00:00;Курская;12827;;1104008;1;0
2020-05-11 00:00:00;Ленинградская;754;;1875872;1;0
2020-05-11 00:00:00;Липецкая;2891;;1139371;0;1
2020-05-11 00:00:00;Магаданская;939;;140149;1;0
2020-05-11 00:00:00;Марий Эл;137;;679417;1;0
2020-05-11 00:00:00;Мордовия;663;;790197;1;0
2020-05-11 00:00:00;Московская;2642;;7690863;0;1
2020-05-11 00:00:00;Мурманская;695;;741404;1;0
2020-05-11 00:00:00;Нижегородская;121;;3202946;0;1
2020-05-11 00:00:00;Новгородская;665;;596508;1;0
2020-05-11 00:00:00;Новосибирская;1961;;2798170;1;0
2020-05-11 00:00:00;Омская;2455;;1926665;0;1
2020-05-11 00:00:00;Оренбургская;1189;;1956835;1;0
2020-05-11 00:00:00;Орловская;1007;;733498;1;0
2020-05-11 00:00:00;Пензенская;3712;;1305563;0;1
2020-05-11 00:00:00;Пермский край;1507;;2599260;0;1
